1,「出典や情報源がはっきりしていて信ぴょう性が高い。必要な部分をいつ，何度でも見返せる」特徴を持つ情報源はどれか。,インタビュー,アンケート,インターネット,テレビ・ラジオ,書籍・新聞,5,書籍・新聞は出典が明確で検証しやすいため。
2,「動画や音声でその場にいるような感覚が伝わる」特徴を持つ情報源はどれか。,インタビュー,アンケート,インターネット,テレビ・ラジオ,書籍・新聞,4,テレビ・ラジオは映像や音声で臨場感がある。
3,「パソコンや携帯電話などで手軽に多くの情報が収集できる」特徴を持つ情報源はどれか。,インタビュー,アンケート,インターネット,テレビ・ラジオ,書籍・新聞,3,インターネットは手軽に広範な情報にアクセスできる。
4,「直接相手と話して，意見や感想を聞くことができる」特徴を持つ情報源はどれか。,インタビュー,アンケート,インターネット,テレビ・ラジオ,書籍・新聞,1,インタビューは対面で深い情報を得られる。
5,「質問項目を用紙やWebページにまとめ，多くの人の意見を聞ける」特徴を持つ情報源はどれか。,インタビュー,アンケート,インターネット,テレビ・ラジオ,書籍・新聞,2,アンケートは多人数から効率的に意見を収集できる。
6,「発信する情報に責任を持つことができる」のはどちらの特性か。,実名性,匿名性,1,本人と紐づき責任が明確になるため。
7,「興味・関心が近い人と深い交流ができる」のはどちらの特性か。,実名性,匿名性,1,信頼関係が築きやすいため。
8,「ストーカー犯罪や誹謗中傷などに巻き込まれる可能性がある」のはどちらの特性か。,実名性,匿名性,2,攻撃的な行動が顕在化しやすいため。
9,「立場にとらわれず自由に発言することができる」のはどちらの特性か。,実名性,匿名性,2,社会的地位などの制約から解放されるため。
10,「不正の内部告発を行いやすい」のはどちらの特性か。,実名性,匿名性,2,身元が保護されることで報復リスクを下げられるため。
11,「不確かな情報の発信や拡散が問題となることがある」のはどちらの特性か。,実名性,匿名性,2,発信源が特定しにくく、誤情報が広まりやすいため。
12,10進数の28を2進数で表せ。,11100,10100,11010,10010,1,16+8+4=28。
13,10進数の34を2進数で表せ。,100010,100001,100100,100011,1,32+2=34。
14,10進数の13を2進数で表せ。,1101,1001,1110,1011,1,8+4+1=13。
15,10進数の18を2進数で表せ。,10010,11000,10100,10001,1,16+2=18。
16,2進数の10110を10進数で表せ。,22,20,19,18,1,16+4+2=22。
17,2進数の11000を10進数で表せ。,24,18,20,16,1,16+8=24。
18,2進数の1101を10進数で表せ。,13,11,14,12,1,8+4+1=13。
19,2進数の1を10進数で表せ。,1,0,2,10,1,1は1。
20,次の単位を大きい順に正しく並べたものはどれか（MB、TB、KB、PB、GB）。,PB > TB > GB > MB > KB,TB > PB > GB > MB > KB,PB > GB > TB > MB > KB,GB > PB > TB > MB > KB,1,PB(ペタ) > TB(テラ) > GB(ギガ) > MB(メガ) > KB(キロ)。
21,画像をデジタル化する際、画像を画素に区切る処理を何と呼ぶか。,標本化,量子化,ビット化,符号化,最適化,1,標本化（サンプリング）は、アナログデータを一定の間隔で区切る処理。
22,画像をデジタル化する際、それぞれの画素の色を数値化する処理を何と呼ぶか。,標本化,量子化,ビット化,符号化,最適化,2,量子化は、標本化されたデータの値を最も近い段階値に割り当てる処理。
23,画像をデジタル化する際、数値化した情報を2進法で表す処理を何と呼ぶか。,標本化,量子化,ビット化,符号化,最適化,3,ビット化（または符号化）は、量子化された値を2進数のコードに変換する処理。
24,光の三原色とは何色か。,赤・緑・青,シアン・マゼンタ・イエロー,赤・青・黄,赤・緑・黄,1,"RGB (Red, Green, Blue) 。ディスプレイなどに使われる加法混色。"
25,光の三原色すべてを合わせると何色になるか。,白,黒,灰色,透明,1,加法混色では、すべてを混ぜると白（明）になる。
